"Date","Open","High","Low","Close Close price adjusted for splits.","Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.","Volume"
"Jul 1, 2006","1,246.70","1,275.00","1,203.00","1,242.00","1,242.00","2,351"
"Jun 1, 2006","1,252.00","1,263.50","1,095.00","1,246.70","1,246.70","32,469"
"May 1, 2006","1,163.70","1,347.00","1,163.00","1,246.80","1,246.80","32,285"
"Apr 1, 2006","1,070.80","1,163.80","1,065.00","1,163.30","1,163.30","3,555"
"Mar 1, 2006","1,037.00","1,095.00","1,035.00","1,059.40","1,059.40","13,623"
"Dec 1, 2005","1,008.90","1,008.90","961.00","973.00","973.00","6,142"
"Nov 1, 2005","952.50","952.50","952.50","952.50","952.50","-"
"Oct 1, 2005","925.00","950.00","915.50","942.40","942.40","553"
"Sep 1, 2005","896.00","938.50","893.00","930.30","930.30","32,564"
"Aug 1, 2005","899.00","930.00","883.30","894.50","894.50","24,961"
"Jul 1, 2005","884.00","905.00","862.50","897.90","897.90","4,033"
"Jun 1, 2005","864.80","905.00","862.00","883.50","883.50","35,846"
"Apr 1, 2005","874.00","884.00","859.00","868.60","868.60","4,206"
"Mar 1, 2005","866.00","889.00","854.80","870.60","870.60","27,356"
"Feb 1, 2005","871.00","885.00","847.00","866.00","866.00","20,267"
"Jan 1, 2005","857.20","950.00","845.00","873.80","873.80","2,668"
"Dec 1, 2004","872.00","887.00","813.00","863.70","863.70","28,743"
"Nov 1, 2004","836.00","882.80","821.20","872.30","872.30","18,300"
"Oct 1, 2004","861.00","869.50","815.00","833.00","833.00","6,087"
"Sep 1, 2004","869.90","884.70","825.00","861.00","861.00","19,747"
"Jul 1, 2004","810.70","839.00","791.00","817.90","817.90","3,587"
"Apr 1, 2004","905.00","954.00","840.00","863.50","863.50","687"
"Mar 1, 2004","881.50","924.00","869.00","908.70","908.70","27,416"
"Jan 1, 2004","818.00","885.00","816.00","830.30","830.30","5,797"
"Dec 1, 2003","790.70","835.00","790.70","811.30","811.30","2,756"
"Oct 1, 2003","710.00","759.00","705.00","754.90","754.90","1,454"
"Sep 1, 2003","712.50","718.80","688.00","706.90","706.90","22,287"
"Aug 1, 2003","687.00","715.00","673.00","708.60","708.60","11,659"
"Jul 1, 2003","679.00","703.00","657.00","685.70","685.70","3,130"
