"Date","Open","High","Low","Close Close price adjusted for splits.","Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.","Volume"
"Dec 1, 2004","206.00","213.50","178.30","185.25","185.25","2,295"
"Nov 1, 2004","213.60","223.50","208.00","210.60","210.60","23,217"
"Oct 1, 2004","226.00","239.20","209.60","212.20","212.20","14,666"
"Sep 1, 2004","215.00","228.80","205.00","224.75","224.75","3,525"
"Jul 1, 2004","213.20","232.40","205.00","217.20","217.20","6,811"
"Jun 1, 2004","256.40","256.40","213.20","214.95","214.95","3,103"
"May 1, 2004","256.40","270.00","227.00","257.45","257.45","16,998"
"Apr 1, 2004","291.00","344.70","232.00","258.30","258.30","28,774"
"Mar 1, 2004","228.25","293.50","228.25","289.95","289.95","3,626"
"Jan 1, 2004","199.00","255.50","198.00","231.55","231.55","15,372"
"Dec 1, 2003","189.00","211.70","186.00","197.50","197.50","2,198"
"Nov 1, 2003","206.00","213.00","187.00","188.80","188.80","10,091"
"Oct 1, 2003","212.00","225.00","182.50","208.15","208.15","7,052"
"Sep 1, 2003","205.00","234.00","193.00","215.15","215.15","1,973"
"Aug 1, 2003","185.00","208.00","171.00","201.80","201.80","8,620"
"Jul 1, 2003","184.00","194.00","160.00","182.00","182.00","3,919"
"May 1, 2003","156.00","208.00","151.00","185.00","185.00","4,847"
"Apr 1, 2003","181.00","183.00","145.00","156.00","156.00","3,654"
"Mar 1, 2003","245.00","245.00","178.00","182.45","182.45","1,370"
"Feb 1, 2003","263.00","275.00","240.50","243.70","243.70","4,385"
"Jan 1, 2003","234.50","274.00","232.00","259.00","259.00","3,821"
"Nov 1, 2002","311.00","316.00","263.00","266.00","266.00","5,242"
"Oct 1, 2002","318.25","329.00","309.00","310.50","310.50","1,569"
"Aug 1, 2002","318.00","380.00","313.00","327.80","327.80","3,872"
"Jul 1, 2002","314.50","336.00","314.00","319.45","319.45","2,010"
"Jun 1, 2002","348.00","358.00","314.00","319.20","319.20","331"
"May 1, 2002","370.00","385.00","343.00","347.40","347.40","3,911"
"Apr 1, 2002","385.00","394.00","355.20","355.50","355.50","1,623"
"Mar 1, 2002","365.00","403.00","363.00","388.90","388.90","823"
"Feb 1, 2002","376.00","396.00","362.00","372.05","372.05","2,005"
"Jan 1, 2002","447.00","447.00","355.50","369.00","369.00","1,245"
"Dec 1, 2001","356.50","449.50","356.50","448.00","448.00","307"
"Nov 1, 2001","317.00","348.00","310.00","350.40","350.40","1,762"
"Oct 1, 2001","335.00","368.00","305.00","316.40","316.40","993"
"Sep 1, 2001","445.00","480.00","355.00","357.00","357.00","158"
"Aug 1, 2001","462.00","489.00","428.00","453.00","453.00","2,080"
"Jun 1, 2001","637.00","637.00","595.00","599.95","599.95","348"
"May 1, 2001","695.00","695.00","626.95","639.55","639.55","1,898"
"Mar 1, 2001","790.00","825.00","734.00","744.00","744.00","216"
"Feb 1, 2001","1,045.00","1,084.00","841.00","837.00","837.00","3,114"
"Jan 1, 2001","964.00","1,090.00","964.00","1,054.80","1,054.80","1,930"
"Dec 1, 2000","816.00","975.00","816.00","954.45","954.45","138"
"Nov 1, 2000","775.00","816.00","770.00","819.00","819.00","1,606"
"Sep 1, 2000","710.00","779.00","705.00","714.85","714.85","1,833"
"Aug 1, 2000","836.00","859.00","709.00","716.75","716.75","2,726"
"Jul 1, 2000","624.00","828.00","618.00","818.00","818.00","2,288"
"Jun 1, 2000","575.00","691.00","572.00","647.95","647.95","399"
"May 1, 2000","620.00","649.90","562.10","581.85","581.85","4,314"
"Apr 1, 2000","585.00","625.00","547.50","620.60","620.60","1,633"
"Mar 1, 2000","700.00","720.00","555.00","595.50","595.50","1,075"
"Feb 1, 2000","485.00","835.00","481.10","712.00","712.00","8,852"
"Jan 1, 2000","445.00","492.00","430.20","484.70","484.70","4,109"
"Dec 1, 1999","397.30","455.00","397.30","449.20","449.20","1,152"
"Nov 1, 1999","391.00","420.00","388.50","397.30","397.30","6,623"
"Oct 1, 1999","384.00","398.00","363.00","393.60","393.60","3,507"
"Sep 1, 1999","341.50","405.00","341.00","369.40","369.40","2,007"
"Jul 1, 1999","320.00","345.00","314.00","338.00","338.00","4,574"
"Jun 1, 1999","339.00","352.50","320.00","320.30","320.30","706"
"May 1, 1999","305.00","348.00","280.00","341.65","341.65","6,066"
"Apr 1, 1999","348.00","387.00","296.00","308.00","308.00","4,959"
"Mar 1, 1999","350.00","372.00","345.00","358.20","358.20","1,136"
"Feb 1, 1999","340.00","368.00","331.10","350.60","350.60","7,631"
"Jan 1, 1999","333.00","340.00","307.00","336.50","336.50","2,957"
"Dec 1, 1998","273.00","334.00","270.10","332.15","332.15","541"
"Oct 1, 1998","282.00","288.00","270.50","277.00","277.00","4,542"
